symbol,type,date,hour,move_pct,return_pct,held,catalyst_type,confidence,gap_gain,rotation_cost,opportunity_cost,net_benefit,worth_rotating
NVDA,OVERNIGHT_GAP,2023-02-23,,12.942076742613043,0.9556272113221003,True,POSSIBLE_CATALYST,70,0.9556272113221003,0.1,2.0,-1.1443727886778996,False
NVDA,OVERNIGHT_GAP,2024-02-22,,11.194279729098287,4.6824397425296755,True,CATALYST,80,4.6824397425296755,0.1,2.0,2.582439742529676,True
NVDA,OVERNIGHT_GAP,2024-07-31,,8.840251199970885,3.649242747125317,True,POSSIBLE_CATALYST,70,3.649242747125317,0.1,2.0,1.5492427471253167,True
AMD,OVERNIGHT_GAP,2023-05-25,,8.349497733272779,2.5914252653606358,True,POSSIBLE_CATALYST,70,2.5914252653606358,0.1,2.0,0.4914252653606357,True
TSLA,OVERNIGHT_GAP,2023-01-26,,10.75954395414693,0.1875370691182982,True,POSSIBLE_CATALYST,70,0.1875370691182982,0.1,2.0,-1.9124629308817018,False
TSLA,OVERNIGHT_GAP,2024-04-29,,11.961498416953841,2.988008140072478,True,POSSIBLE_CATALYST,70,2.988008140072478,0.1,2.0,0.8880081400724777,True
TSLA,OVERNIGHT_GAP,2024-10-24,,14.523753646504305,6.457421441679968,True,CATALYST,80,6.457421441679968,0.1,2.0,4.357421441679969,True
TSLA,OVERNIGHT_GAP,2024-11-06,,13.215880792107376,1.3559508095299915,True,POSSIBLE_CATALYST,70,1.3559508095299915,0.1,2.0,-0.7440491904700086,False
META,OVERNIGHT_GAP,2023-02-02,,19.762286043870574,2.9392514157107144,True,POSSIBLE_CATALYST,70,2.9392514157107144,0.1,2.0,0.8392514157107143,True
META,OVERNIGHT_GAP,2024-02-02,,16.419258614328825,3.348560471383686,True,CATALYST,80,3.348560471383686,0.1,2.0,1.2485604713836858,True
NFLX,OVERNIGHT_GAP,2024-01-24,,9.25658707412986,1.3240315493012098,True,POSSIBLE_CATALYST,70,1.3240315493012098,0.1,2.0,-0.7759684506987903,False
NVAX,OVERNIGHT_GAP,2023-05-09,,20.402691230586807,6.13155155364386,True,MAJOR_CATALYST,90,6.13155155364386,0.1,2.0,4.03155155364386,True
NVAX,OVERNIGHT_GAP,2024-02-22,,12.060301928974027,9.41704198882576,True,CATALYST,80,9.41704198882576,0.1,2.0,7.3170419888257605,True
NVAX,OVERNIGHT_GAP,2024-05-13,,9.12161548990453,35.29411996278603,True,POSSIBLE_CATALYST,70,35.29411996278603,0.1,2.0,33.194119962786026,True
GME,OVERNIGHT_GAP,2023-11-29,,14.825797138128664,4.906392770249695,True,CATALYST,80,4.906392770249695,0.1,2.0,2.806392770249695,True
GME,OVERNIGHT_GAP,2024-05-13,,50.85911531354148,15.603646873736851,True,MAJOR_CATALYST,90,15.603646873736851,0.1,2.0,13.503646873736852,True
GME,OVERNIGHT_GAP,2024-05-28,,21.578949376156455,2.9437242162180284,True,POSSIBLE_CATALYST,70,2.9437242162180284,0.1,2.0,0.8437242162180283,True
AMC,OVERNIGHT_GAP,2023-01-11,,9.113302714279351,11.060951716178941,True,POSSIBLE_CATALYST,70,11.060951716178941,0.1,2.0,8.960951716178942,True
AMC,OVERNIGHT_GAP,2023-04-06,,9.876543209876543,10.112359550561797,True,POSSIBLE_CATALYST,70,10.112359550561797,0.1,2.0,8.012359550561797,True
AMC,OVERNIGHT_GAP,2023-07-24,,32.727276195179336,0.17123025943206735,True,POSSIBLE_CATALYST,70,0.17123025943206735,0.1,2.0,-1.9287697405679327,False
AMC,OVERNIGHT_GAP,2024-04-17,,8.088236260888475,1.360542893691104,True,POSSIBLE_CATALYST,70,1.360542893691104,0.1,2.0,-0.7394571063088962,False
AMC,OVERNIGHT_GAP,2024-05-13,,20.962195089478655,47.443184242699274,True,MAJOR_CATALYST,90,47.443184242699274,0.1,2.0,45.34318424269927,True
PLTR,OVERNIGHT_GAP,2023-02-14,,12.877792403150835,7.334110631547768,True,CATALYST,80,7.334110631547768,0.1,2.0,5.234110631547768,True
PLTR,OVERNIGHT_GAP,2023-05-09,,19.12145400098423,3.579174773846279,True,CATALYST,80,3.579174773846279,0.1,2.0,1.479174773846279,True
PLTR,OVERNIGHT_GAP,2023-11-02,,17.158173276486163,2.80320242534443,True,POSSIBLE_CATALYST,70,2.80320242534443,0.1,2.0,0.70320242534443,True
PLTR,OVERNIGHT_GAP,2024-02-06,,21.41148367659716,7.733998330928947,True,MAJOR_CATALYST,90,7.733998330928947,0.1,2.0,5.633998330928947,True
PLTR,OVERNIGHT_GAP,2024-03-06,,8.147839469012071,1.5922324171344056,True,POSSIBLE_CATALYST,70,1.5922324171344056,0.1,2.0,-0.5077675828655945,False
PLTR,OVERNIGHT_GAP,2024-11-05,,15.575949738484585,6.832428784082399,True,MAJOR_CATALYST,90,6.832428784082399,0.1,2.0,4.7324287840823995,True
COIN,OVERNIGHT_GAP,2023-05-05,,9.813079838620174,7.752086032469885,True,POSSIBLE_CATALYST,70,7.752086032469885,0.1,2.0,5.652086032469885,True
COIN,OVERNIGHT_GAP,2024-02-14,,8.148730316363098,5.631300104488987,True,POSSIBLE_CATALYST,70,5.631300104488987,0.1,2.0,3.531300104488987,True
COIN,OVERNIGHT_GAP,2024-11-06,,14.188486317320967,14.82300996223677,True,CATALYST,80,14.82300996223677,0.1,2.0,12.72300996223677,True
COIN,OVERNIGHT_GAP,2024-11-11,,10.92192080623941,7.96843024552063,True,CATALYST,80,7.96843024552063,0.1,2.0,5.8684302455206305,True
HOOD,OVERNIGHT_GAP,2024-11-06,,11.097758651308842,7.681215662737285,True,CATALYST,80,7.681215662737285,0.1,2.0,5.581215662737286,True
RBLX,OVERNIGHT_GAP,2023-02-15,,17.9422535867995,7.154747226206382,True,MAJOR_CATALYST,90,7.154747226206382,0.1,2.0,5.054747226206382,True
RBLX,OVERNIGHT_GAP,2024-02-07,,9.876852923495774,0.29141687141126865,True,POSSIBLE_CATALYST,70,0.29141687141126865,0.1,2.0,-1.8085831285887313,False
RBLX,OVERNIGHT_GAP,2024-10-31,,18.49791296972329,1.1737134220558907,True,POSSIBLE_CATALYST,70,1.1737134220558907,0.1,2.0,-0.9262865779441094,False
SNOW,OVERNIGHT_GAP,2023-11-07,,8.023583612398815,2.439496018187904,True,POSSIBLE_CATALYST,70,2.439496018187904,0.1,2.0,0.3394960181879041,True
SNOW,OVERNIGHT_GAP,2024-11-21,,24.89157419846448,6.256983715977967,True,MAJOR_CATALYST,90,6.256983715977967,0.1,2.0,4.156983715977967,True
CRWD,OVERNIGHT_GAP,2024-06-05,,9.499967293319997,2.2623375438916504,True,POSSIBLE_CATALYST,70,2.2623375438916504,0.1,2.0,0.16233754389165034,True
NET,OVERNIGHT_GAP,2023-02-02,,8.097645257608212,5.474543436276439,True,POSSIBLE_CATALYST,70,5.474543436276439,0.1,2.0,3.374543436276439,True
DDOG,OVERNIGHT_GAP,2023-11-07,,24.437453257372507,3.2427509382213255,True,CATALYST,80,3.2427509382213255,0.1,2.0,1.1427509382213255,True
ZS,OVERNIGHT_GAP,2023-05-08,,20.15425772838656,0.4000375046250854,True,POSSIBLE_CATALYST,70,0.4000375046250854,0.1,2.0,-1.6999624953749146,False
SHOP,OVERNIGHT_GAP,2023-05-04,,18.58655368281522,4.428650177654216,True,CATALYST,80,4.428650177654216,0.1,2.0,2.3286501776542163,True
SHOP,OVERNIGHT_GAP,2023-11-02,,18.138959434420908,3.5739094293969944,True,CATALYST,80,3.5739094293969944,0.1,2.0,1.4739094293969943,True
SHOP,OVERNIGHT_GAP,2024-11-12,,19.47994132173943,1.3020847931445574,True,POSSIBLE_CATALYST,70,1.3020847931445574,0.1,2.0,-0.7979152068554427,False
ROKU,OVERNIGHT_GAP,2023-02-16,,8.867539642898922,2.097796427408113,True,POSSIBLE_CATALYST,70,2.097796427408113,0.1,2.0,-0.002203572591886971,False
ROKU,OVERNIGHT_GAP,2023-07-28,,9.955995882655687,19.51347051842623,True,POSSIBLE_CATALYST,70,19.51347051842623,0.1,2.0,17.41347051842623,True
ROKU,OVERNIGHT_GAP,2023-11-02,,18.693466842198116,10.146771633467782,True,MAJOR_CATALYST,90,10.146771633467782,0.1,2.0,8.046771633467783,True
PLUG,OVERNIGHT_GAP,2024-01-23,,18.30985903668985,10.714290022444697,True,MAJOR_CATALYST,90,10.714290022444697,0.1,2.0,8.614290022444697,True
PLUG,OVERNIGHT_GAP,2024-01-31,,9.919567926731222,8.536583238382647,True,POSSIBLE_CATALYST,70,8.536583238382647,0.1,2.0,6.436583238382648,True
RIVN,OVERNIGHT_GAP,2024-11-13,,11.058601935075512,2.38297645081865,True,POSSIBLE_CATALYST,70,2.38297645081865,0.1,2.0,0.2829764508186501,True
SOFI,OVERNIGHT_GAP,2023-01-30,,10.94276244286082,1.3657006626227401,True,POSSIBLE_CATALYST,70,1.3657006626227401,0.1,2.0,-0.7342993373772599,False
SOFI,OVERNIGHT_GAP,2023-07-31,,8.795812940431507,10.202111943370657,True,POSSIBLE_CATALYST,70,10.202111943370657,0.1,2.0,8.102111943370657,True
SOFI,OVERNIGHT_GAP,2024-01-29,,15.748029229492467,3.8548771468485494,True,CATALYST,80,3.8548771468485494,0.1,2.0,1.7548771468485493,True
UPST,OVERNIGHT_GAP,2023-02-15,,9.85163091887905,16.639653623019505,True,POSSIBLE_CATALYST,70,16.639653623019505,0.1,2.0,14.539653623019504,True
UPST,OVERNIGHT_GAP,2024-08-07,,25.680766423313923,10.999997456868488,True,MAJOR_CATALYST,90,10.999997456868488,0.1,2.0,8.899997456868489,True
UPST,OVERNIGHT_GAP,2024-11-08,,17.667198858300402,24.099899135822284,True,MAJOR_CATALYST,90,24.099899135822284,0.1,2.0,21.999899135822282,True
