symbol,signal_date,surge_date,surge_pct,actual_return,signal_type,confidence,reason,volume_ratio,close_position,prev_day_return,buy_price,sell_price
NVDA,2023-05-24,2023-05-25,24.369634015199825,24.369634015199818,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.7632340194016625,0.9138574371063583,-0.48877244745393345,30.512643814086918,37.948463439941406
TSLA,2024-07-01,2024-07-02,10.197271435359356,10.197271435359365,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.7613466731673175,0.7277869190901461,6.054171938510833,209.8600006103516,231.25999450683597
GOOGL,2024-04-25,2024-04-26,10.224344283192899,10.224344283192908,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),2.113234594324172,0.9128105714433079,-1.9669601779230828,154.8301544189453,170.6605224609375
META,2023-02-01,2023-02-02,23.28237832582827,23.28237832582826,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.9567831498896737,0.9294468692589415,2.7857983776258255,152.05783081054688,187.46051025390625
BNTX,2024-09-12,2024-09-13,17.52381097702753,17.52381097702753,PROBABLE_CATALYST,80,Probable catalyst (high vol + strong close),2.1639780201677903,0.9927235265240345,5.772140173970497,105.0,123.4000015258789
NVAX,2023-08-21,2023-08-22,13.506817767130453,13.50681776713045,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),2.2294318298023117,0.712417991032346,13.025207923377469,8.069999694824219,9.15999984741211
GME,2023-11-28,2023-11-29,20.459601747295398,20.459601747295387,SCHEDULED_CATALYST,90,Likely earnings/FDA (high vol + strong close + momentum),3.7671031083530853,0.9638551655831546,13.266162417704553,13.489999771118164,16.25
GME,2024-05-02,2024-05-03,29.075227413203297,29.075227413203308,PROBABLE_CATALYST,80,Probable catalyst (high vol + strong close),2.174359798914177,0.9375000620881692,16.95692399032025,12.760000228881836,16.469999313354492
AMC,2024-05-13,2024-05-14,31.984582449140355,31.98458244914036,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),10.90153743625738,0.746323511043119,78.35051216979335,5.190000057220459,6.849999904632568
PLTR,2023-07-28,2023-07-31,11.39809515731558,11.398095157315572,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.890055744975619,0.869918774830432,10.27863706886687,17.809999465942383,19.84000015258789
PLTR,2024-08-05,2024-08-06,10.377750038044042,10.377750038044043,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.9099188587983396,0.8965517653734367,-2.6273226537742,24.09000015258789,26.59000015258789
HOOD,2024-02-13,2024-02-14,13.006756266945029,13.006756266945036,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),3.762630544440819,0.811880701979677,-1.4154877023659584,11.84000015258789,13.380000114440918
NET,2024-02-08,2024-02-09,19.499502919293143,19.49950291929315,SCHEDULED_CATALYST,90,Likely earnings/FDA (high vol + strong close + momentum),4.80694325602192,0.9058674518662669,8.350328988468592,90.30999755859376,107.91999816894533
SHOP,2023-11-01,2023-11-02,22.361138845439154,22.361138845439164,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.6782907670680833,0.9588237274063436,3.390553793982898,48.790000915527344,59.70000076293945
SHOP,2024-08-06,2024-08-07,17.834743547097087,17.834743547097087,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.878030006483569,0.7372555414104212,3.7504840453894905,54.220001220703125,63.88999938964844
ROKU,2023-02-15,2023-02-16,11.151359000134775,11.151359000134766,PROBABLE_CATALYST,80,Probable catalyst (high vol + strong close),2.369577903648828,0.9498177732173204,12.093930724989143,63.4900016784668,70.56999969482422
ROKU,2023-11-01,2023-11-02,30.737021866521765,30.737021866521765,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),2.1747712556245427,0.9260705644862033,0.2182324471734498,59.70000076293945,78.05000305175781
PLUG,2024-05-13,2024-05-14,19.031139527744777,19.031139527744788,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.5385872318667755,0.8157897048378879,12.890631621121585,2.890000104904175,3.440000057220459
PLUG,2024-12-04,2024-12-05,15.023470237079838,15.023470237079842,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.5218587036389577,1.0,5.445551215498057,2.130000114440918,2.450000047683716
RIVN,2023-07-06,2023-07-07,14.24606754925206,14.246067549252073,PROBABLE_CATALYST,80,Probable catalyst (high vol + strong close),2.1423268494389625,0.9295776791966573,5.82477002585331,21.6200008392334,24.700000762939453
RIVN,2024-06-25,2024-06-26,23.244144850370006,23.244144850370017,PROBABLE_CATALYST,80,Probable catalyst (high vol + strong close),2.055972960298913,0.9175258745535183,8.628517615949383,11.960000038146973,14.739999771118164
LCID,2024-07-11,2024-07-12,25.0,25.0,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),2.374657479453586,0.7164177149965981,7.9365079365079305,34.0,42.5
LCID,2024-12-06,2024-12-09,10.869565217391308,10.869565217391305,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.849615594100244,0.8695655058373181,10.047848898560897,23.0,25.5
UPST,2023-02-14,2023-02-15,28.130561803018317,28.130561803018324,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.8537715653568274,0.7772282346209356,4.723432080015222,16.850000381469727,21.59000015258789
UPST,2023-05-09,2023-05-10,34.634486216597374,34.634486216597374,SCHEDULED_CATALYST,90,Likely earnings/FDA (high vol + strong close + momentum),3.61778600764428,0.9646018072548446,5.306427743454778,14.09000015258789,18.969999313354492
UPST,2023-05-17,2023-05-18,14.96026579826868,14.960265798268674,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.8547201587529538,0.703180150094188,10.371518658013844,21.389999389648438,24.59000015258789
UPST,2023-11-02,2023-11-03,10.535907245699594,10.5359072456996,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.6629006904222758,0.9781426175703296,11.549410878263068,27.43000030517578,30.31999969482422
UPST,2024-05-08,2024-05-09,13.241018542300376,13.241018542300386,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),2.7345523379097894,0.9492190672318181,-5.557820764877219,23.110000610351562,26.170000076293945
RBLX,2023-11-07,2023-11-08,11.833480359258107,11.83348035925812,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.6912730167883676,0.8756758205729887,3.60413966232771,35.06999969482422,39.220001220703125
RBLX,2024-02-06,2024-02-07,10.197052610690594,10.197052610690587,POSSIBLE_CATALYST,70,Possible catalyst (elevated vol + decent close),1.7420590049538054,0.8984748965965951,3.176620199419,40.599998474121094,44.7400016784668
